time_from_treatment_start,population,n_responders,n_non_responders,mean_responders,mean_non_responders,median_responders,median_non_responders,median_difference,cliffs_delta,mannwhitney_u,mannwhitney_p,mannwhitney_p_adj,welch_t,welch_p,welch_p_adj,significant,direction
0,b_cell,331,325,10.08676774772329,9.774166120812726,9.785034652883825,9.758175376096343,0.02685927678748179,0.02707878224494542,55244.0,0.5485408675112389,0.8853281081905567,1.2505906465552186,0.2115373772796336,0.8447276380250432,False,no significant difference
0,cd8_t_cell,331,325,24.817742757346927,25.000818276940446,24.39568761084873,24.60102813964531,-0.20534052879658304,-0.02945851731350224,52203.0,0.5139556861462278,0.8853281081905567,-0.4968949635305186,0.6194340047717293,0.8750971044179124,False,no significant difference
0,cd4_t_cell,331,325,29.975027176680108,29.83039667565862,29.633821633005223,29.530535110403818,0.10328652260140458,0.011647687659772199,54414.0,0.7964495929763914,0.8853281081905567,0.3740391272200862,0.7084989426566358,0.8750971044179124,False,no significant difference
0,nk_cell,331,325,15.219501327298259,15.171309323385437,14.997332404211535,14.890453979521677,0.10687842468985842,-0.006516383918196644,53437.0,0.8853281081905569,0.8853281081905567,0.15725108268052848,0.8750971044179123,0.8750971044179124,False,no significant difference
0,monocyte,331,325,19.90096099095142,20.223309603202775,19.6055804178746,20.286002186823318,-0.6804217689487189,-0.05639786195677432,50754.0,0.21138928177193006,0.8853281081905567,-0.9590690686145376,0.3378910552100173,0.8447276380250432,False,no significant difference
7,b_cell,331,325,9.745962318786606,10.108059928106302,9.233417466902628,9.96574061312489,-0.7323231462222619,-0.06595398559144783,50240.0,0.14386477481769383,0.23977462469615637,-1.4420342367898042,0.149771516216106,0.27104444359543245,False,no significant difference
7,cd8_t_cell,331,325,24.799045499977066,24.901903575346857,24.696417585537837,24.772727272727273,-0.0763096871894362,-0.021259586335115044,52644.0,0.637658094967041,0.637658094967041,-0.28994600242090185,0.7719508175118343,0.7719508175118343,False,no significant difference
7,cd4_t_cell,331,325,30.746900042213053,29.717765287736245,30.445659590036684,29.54763079244407,0.8980287975926124,0.09809900069718802,59064.0,0.029706072054571857,0.1485303602728593,2.584600537178671,0.009964900008184006,0.04982450004092003,False,no significant difference
7,nk_cell,331,325,14.657068176489608,15.087751121131044,14.419799388594255,14.795928490644656,-0.37612910205040073,-0.06697652800371834,50185.0,0.1377526593743302,0.23977462469615637,-1.3978697850247388,0.16262666615725946,0.27104444359543245,False,no significant difference
7,monocyte,331,325,20.051023962533666,20.18452008767955,19.596890913964085,20.03212228622065,-0.4352313722565633,-0.0315779688589356,52089.0,0.48413674295382403,0.6051709286922801,-0.40562426849264377,0.6851523658098047,0.7719508175118343,False,no significant difference
14,b_cell,331,325,9.559927774800581,10.106733083706457,9.107291903786328,9.837048983645893,-0.7297570798595654,-0.11040669300488026,47849.0,0.014414435042203688,0.07207217521101844,-2.161993904865797,0.030980971717597925,0.15075119159503306,False,no significant difference
14,cd8_t_cell,331,325,25.029006527966136,24.92905122029029,25.077472448539822,24.5581237253569,0.5193487231829224,0.014938415059261079,54591.0,0.7407366897157915,0.7407366897157915,0.2689556459639293,0.7880486429014277,0.9360288461875015,False,no significant difference
14,cd4_t_cell,331,325,30.891497806657117,30.158623365367315,30.790936388610856,30.069868027059997,0.7210683615508593,0.08021380432256575,58102.0,0.0754706770446271,0.18867669261156772,1.8818482399968508,0.060300476638013224,0.15075119159503306,False,no significant difference
14,nk_cell,331,325,14.646263308793358,14.960438199423288,14.35279940320205,14.653386282211766,-0.3005868790097157,-0.04537299558447594,51347.0,0.3147007071269343,0.5245011785448905,-1.0099160552080044,0.312909004635695,0.5215150077261583,False,no significant difference
14,monocyte,331,325,19.873304581782815,19.845154131212645,19.623260270454477,19.74962832087221,-0.12636805041773158,-0.020664652567975783,52676.0,0.6471033071525258,0.7407366897157915,0.08029328146819818,0.9360288461875015,0.9360288461875015,False,no significant difference
