population,n_responders,n_non_responders,mean_responders,mean_non_responders,median_responders,median_non_responders,median_difference,cliffs_delta,mannwhitney_u,mannwhitney_p,mannwhitney_p_adj,welch_t,welch_p,welch_p_adj,significant,direction
b_cell,331,325,9.797552613770158,9.996319710875161,9.671393040785683,9.844568355749049,-0.17317531496336613,-0.042547060190564756,51499.0,0.34579575361837356,0.43224469202296695,-1.3975625042196744,0.16271848603667938,0.27404261800745494,False,no significant difference
cd8_t_cell,331,325,24.88193159509671,24.943924357525862,24.896947918824413,25.009725891231607,-0.11277797240719423,-0.02224494538693933,52591.0,0.6221436939857599,0.6221436939857599,-0.2969881882318277,0.7665716263834896,0.7665716263834896,False,no significant difference
cd4_t_cell,331,325,30.5378083418501,29.90226177625406,30.20981709190839,29.82252023625726,0.3872968556511296,0.11280501975366031,59855.0,0.012422106237428315,0.06211053118714158,2.849631970496425,0.004514977524069793,0.02257488762034896,False,no significant difference
nk_cell,331,325,14.840944270860408,15.073166214646589,14.739688497806503,14.959829529667223,-0.2201410318607202,-0.0689100627469208,50081.0,0.12674471572310064,0.3168617893077516,-1.3919212379490444,0.16442557080447298,0.27404261800745494,False,no significant difference
monocyte,331,325,19.941763178422633,20.084327940698326,19.794516307728255,20.276802878048535,-0.4822865703202801,-0.05035556588426682,51079.0,0.26449173372700063,0.43224469202296695,-0.7519246997689525,0.4523751461900043,0.5654689327375053,False,no significant difference
